ApprovalFiscalYear,GrossApproval,NaicsCode,InitialInterestRate,BorrState,JobsSupported,LoanStatus
2019,300000,212221,7.75,AK,9,CANCLD
2016,84000,212231,6,WI,0,PIF
2013,75000,212299,7.75,PR,16,PIF
2017,2409400,212299,6.1875,GA,62,EXEMPT
2012,5720800,212311,5.45,CA,68,CANCLD
2013,1606300,212311,4.6875,ME,71,CANCLD
2014,780000,212311,5.25,WI,50,EXEMPT
2015,3540100,212311,6.319166667,PA,13,EXEMPT
2016,6903900,212311,5.464285714,TX,91,EXEMPT
2017,7875000,212311,5.2875,MA,106,EXEMPT
2018,4466400,212311,6.98,MO,288,EXEMPT
2019,9538400,212311,6.7,OH,145,EXEMPT
2020,138200,212311,8.5,UT,22,EXEMPT
2012,527000,212312,5.75,IA,15,PIF
2013,818000,212312,4.375,WI,0,EXEMPT
2014,5008000,212312,4.75,MN,3,PIF
2015,350000,212312,6,MN,5,PIF
2016,10000000,212312,5,FL,24,CANCLD
2019,1803000,212312,8.25,VT,9,EXEMPT
2013,97000,212313,6,MT,9,PIF
2014,3170000,212313,7.485,TX,34,EXEMPT
2015,4150000,212313,5,CT,13,EXEMPT
2017,300000,212313,5.75,KY,7,EXEMPT
2012,670000,212319,5.625,NY,12,PIF
2013,1500000,212319,6,PA,7,PIF
2014,4913900,212319,5.65,NC,24,PIF
2015,4644000,212319,6,KS,4,PIF
2016,707500,212319,6.658333333,MT,17,PIF
2017,624500,212319,6.583333333,AZ,13,PIF
2018,559500,212319,6.75,WI,3,EXEMPT
2019,1239000,212319,7.216666667,PA,20,EXEMPT
2012,20594064,212321,5.7496,NH,342,PIF
2013,11787000,212321,6.315217391,MN,194,PIF
2014,18544400,212321,6.627878788,TX,333,CHGOFF
2015,9011700,212321,7.023214286,TX,264,EXEMPT
2016,7460500,212321,7.45525,TX,265,CANCLD
2017,13710000,212321,8.227608696,TX,276,COMMIT
2018,27520200,212321,8.010930233,NY,236,EXEMPT
2019,10853100,212321,7.543,AL,107,EXEMPT
2020,799100,212321,8.083333333,AR,14,CANCLD
2015,150000,212322,4.25,MA,2,CANCLD
2016,2690800,212322,6.25,MO,10,EXEMPT
2018,5000000,212322,7,WI,25,EXEMPT
2019,4600000,212322,7,TX,38,EXEMPT
2015,10000,212325,8.25,UT,2,PIF
2017,139000,212325,7.75,ID,28,EXEMPT
2015,500000,212392,2.25,UT,42,PIF
2012,50000,212393,6,WA,5,PIF
2017,50000,212393,7.5,UT,7,PIF
2012,416500,212399,5,CA,15,EXEMPT
2013,1410000,212399,5.875,CA,59,PIF
2014,5000000,212399,6,KY,32,PIF
2016,25000,212399,5.5,NY,0,EXEMPT
